,SMILES,types,pCMC,pCMC_std,AW_ST_CMC,AW_ST_CMC_std,Gamma_max,Gamma_max_std,Area_min,Area_min_std,Pi_CMC,Pi_CMC_std,PC20,PC20_std
0,CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,2.85698519974591,0.0,44.0,0.0,1.1,0.0,1.51,0.0,28.0,0.0,3.18,0.0
1,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,1.74496883665445,0.0,39.72037887573242,4.796557586043044,1.6721458435058594,0.3929897509660273,1.1263798475265503,0.33004146386234184,33.13198471069336,3.9959370851607408,3.7024035453796387,0.5351848941951727
2,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,1.77006231409207,0.0,40.3108024597168,5.4087777787680755,1.6929155588150024,0.46765117453492644,1.1241073608398438,0.3499897276380525,32.38187026977539,4.6516622313410325,3.5116124153137207,0.6069800723213229
3,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,1.79588001734408,0.0,40.72459030151367,5.705712021639327,1.6601688861846924,0.48782174786668864,1.1640911102294922,0.36989754416800613,31.902385711669922,4.97419001134599,3.4494667053222656,0.5264402375413929
4,CCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,1.60205999132796,0.0,19.0,0.0,2.56,0.0,0.66,0.0,53.0,0.0,2.73102645744249,0.0
5,CCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,3.32799455497705,0.0,20.0,0.0,1.77,0.0,0.94,0.0,52.0,0.0,4.91136954049497,0.0
6,CCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,2.39804859586648,0.0,18.0,0.0,2.06,0.0,0.8,0.0,54.0,0.0,3.84355082020611,0.0
7,CCCCC(=O)OCC(COC(=O)CCCC)S(=O)(=O)[O-].[Na+],anionic,1.23897474828863,0.0,33.24517059326172,4.7610086760687205,1.6982024908065796,0.43519001419653075,1.3759865760803223,0.3873549774699858,39.2169075012207,4.857902702010001,2.948946952819824,0.42265201168458677
8,CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,0.662940273679476,0.0,30.349124908447266,4.349576915934541,1.8261420726776123,0.24911251962530245,1.1510803699493408,0.3093795628414411,42.582759857177734,4.577513845719557,3.4336142539978027,0.5165265912493642
9,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,2.60205999132796,0.0,29.872562408447266,4.55010212700006,2.001821994781494,0.5250101435122743,1.1278201341629028,0.392853455144208,42.94712829589844,4.688630195350958,3.4719748497009277,0.4839866950975299
10,CCCCCC(=O)OCC(COC(=O)CCCCC)S(=O)(=O)[O-].[Na+],anionic,1.81701503299642,0.0,33.111122131347656,4.2444816990432255,1.5361248254776,0.3586327513158116,1.388427972793579,0.36998723850384424,39.31502914428711,4.353038700184822,3.3497848510742188,0.4927800245730464
11,CCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,2.04100633496967,0.0,19.0,0.0,1.66,0.0,0.99,0.0,53.0,0.0,3.78206305379689,0.0
12,CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.04701393480294,0.0,29.894582748413086,4.135873672862037,1.5997445583343506,0.5641428952578985,1.3396146297454834,0.6156994732037259,42.5018196105957,4.113557205661075,3.5146350860595703,0.5323838424260756
13,CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,1.08097423541264,0.0,26.738454818725586,4.911696625681142,0.67,0.0,2.48,0.0,45.760765075683594,4.985729417934715,3.7364654541015625,0.6518460637604891
14,CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.2500319164906,0.0,29.98960304260254,3.766923049354818,1.5559370517730713,0.43115737475750365,1.3154680728912354,0.5531873763706366,42.20363235473633,3.443363160538375,3.5233588218688965,0.49650509796422876
15,CCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,0.733063088840827,0.0,26.36720848083496,4.4445376063415365,1.735727310180664,0.42563241860529083,1.1365951299667358,0.2389477410884404,46.13515853881836,4.7301572892309816,3.016359806060791,0.30154270697688074
16,CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,3.79588001734408,0.0,22.06632423400879,2.458135757522688,1.783479928970337,0.12062350973355322,0.9776639938354492,0.08718210808302226,49.889129638671875,2.3512020522717094,4.98898983001709,0.23729376050090112
17,CCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,2.92118081690115,0.0,20.0,0.0,1.6,0.0,1.04,0.0,52.0,0.0,4.67278939463035,0.0
18,CCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,0.744968836654449,0.0,26.933940887451172,4.729737089270533,0.847,0.0,1.96,0.0,45.82771682739258,4.93991948828715,3.37638783454895,0.5635337027767171
19,CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,1.96697855531709,0.0,30.1251220703125,3.977915643427538,1.5280505418777466,0.5477544536650735,1.3774868249893188,0.6386923606096834,42.237327575683594,3.933189327038644,3.462294101715088,0.5153830810605403
20,CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],anionic,1.44201185177509,0.0,26.452274322509766,3.533488298901651,0.7507007718086243,0.28235322547824937,2.565556287765503,0.5369400932057447,45.58640670776367,3.292631277053291,3.741321086883545,0.5426286088099302
21,CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.58502665202918,0.0,29.982681274414062,3.0413019001414625,1.6384894847869873,0.44798004082964615,1.1833860874176025,0.43871171973279616,42.371009826660156,2.7841186730580203,3.7720367908477783,0.38818267989926447
22,CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,1.71399287792053,0.0,29.941965103149414,3.907884100262567,0.439,0.0,3.78,0.0,41.820457458496094,4.084723834885,3.8274548053741455,0.5657399528979462
23,CCCCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,2.83713700667807,0.0,20.0,0.0,1.6,0.0,1.04,0.0,52.0,0.0,4.58874558440727,0.0
24,CCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.19997064075587,0.0,29.82924461364746,3.559868164208609,1.559332251548767,0.535279174066075,1.314650297164917,0.5639143572841476,42.45502853393555,3.330998678117456,3.607516050338745,0.4711824794808803
25,CCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.4000078224159,0.0,29.791805267333984,3.505930139077565,1.5987136363983154,0.5180277457643145,1.2664226293563843,0.5280487272669928,42.57943344116211,3.288997041675267,3.6601014137268066,0.4539607738475552
26,CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],anionic,1.5480601306349,0.0,26.547565460205078,3.5432510827229335,0.7506834268569946,0.2817600599070773,2.5768208503723145,0.5464023667371335,45.496864318847656,3.2856765587748136,3.7397379875183105,0.5393639987601826
27,CCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.29998893767789,0.0,29.996891021728516,2.986183375231521,1.6380960941314697,0.4386141598006199,1.1815097332000732,0.4321542982252752,42.354530334472656,2.7352050185726258,3.7746994495391846,0.38610175004134545
